문재인,	문재인/NNG+,/SP
반성해야	반성하/VV+여야/EC
할	하/VX+ㄹ/ETM
대목입니다	대목/NNG+이/VCP+ㅂ니다/EC

그러나	그러나/MAJ
좋은	좋/VA+은/ETM
기회이기도	기회/NNG+이/VCP+기/ETN+도/JX
합니다	하/VX+ㅂ니다/EF

우리	우리/NP
당이	당/NNG+이/JKS
과감한	과감하/VA+ㄴ/ETM
쇄신으로	쇄신/NNG+으로/JKB
변화를	변화/NNG+를/JKO
이뤄낸다면	이루/VV+어/EC+내/VX+ㄴ다면/EC
새로운	새롭/VA+ㄴ/ETM
정치의	정치/NNG+의/JKG
열망을	열망/NNG+을/JKO
모두	모두/MAG
아우를	아우/VV+를/ETM
수	수/NNB
있습니다	있/VA+습니다/EF

이제	이제/MAG
우리는	우리/NP+는/JX
정권교체의	정권교체/NNG+의/JKG
대장정을	대장정/NNG+을/JKO
시작합니다	시작하/VV+ㅂ니다/EF

승리로	승리/NNG+로/JKB
가는	가/VV+는/ETM
길목에서	길목/NNG+에서/JKB
꼭	꼭/MAG
필요한	필요하/VA+ㄴ/ETM
것은	것/NNB+은/JX
우리의	우리/NP+의/JKG
단결입니다	단결/NNG+이/VCP+ㅂ니다/EF

오늘	오늘/NNG
이	이/MM
시점부터	시점/NNG+부터/JX
우리	우리/NP
민주통합당은	민주통합당/NNP+은/JX
하나입니다	하나/NR+이/VCP+ㅂ니다/EC

더	더/MAG
널리,	널리/MAG+,/SP
새로운	새롭/VA+ㄴ/ETM
인재들이	인재/NNG+들/XSN+이/JKS
함께하는	함께하/VV+는/ETM
열린	열리/VV+ㄴ/ETM
선거대책위원회를	선거대책위원회/NNG+를/JKO
구성하겠습니다	구성하/VV+겠/EP+습니다/EF

당내	당내/NNG
모든	모든/MM
계파와	계파/NNG+와/JC
시민사회까지	시민사회/NNG+까지/JX
아우르는	아우르/VV+는/ETM
‘용광로	‘용광/NNG+로/JKB
선대위’를	선대위’/NNG+를/JKO
만들겠습니다	만들/VV+겠/EP+습니다/EF

그	그/MM
힘으로	힘/NNG+으로/JKB
우리	우리/NP
민주통합당이	민주통합당/NNG+이/JKS
중심이	중심/NNG+이/JKC
된	되/VV+ㄴ/ETM
정권교체의	정권교체/NNG+의/JKG
길로	길/NNG+로/JKB
나아가겠습니다	나아가/VV+겠/EP+습니다/EF

우리	우리/NP
민주통합당과	민주통합당/NNP+과/JKB
함께	함께/MAG
변화의	변화/NNG+의/JKG
새	새/MM
시대로	시대/NNG+로/JKB
가는	가/VV+는/ETM
문을	문/NNG+을/JKO
열어주십시오	열/VV+어/EC+주/VX+십시오/EC

정권교체,	정권교체/NNG+,/SP
정치교체,	정치교체/NNG+,/SP
시대교체,	시대교체/NNG+,/SP
반드시	반드시/MAG
해내겠습니다	하/VV+여/EC+내/VX+겠/EP+습니다/EF

사람이	사람/NNG+이/JKS
먼저인	먼저/VA+이/VCP+ㄴ/EC
세상을	세상/NNG+을/JKO
꼭	꼭/MAG
만들겠습니다	만들/VV+겠/EP+습니다/EF

감사합니다	감사하/VV+ㅂ니다/EF
